run_name,target_host,n_candidates,mean_target_score,best_target_score,mean_strict_manifold,mean_pll_delta,validated_fraction
kleb_to_enterobacter_structural_plus_random_no_diversity_seed43,Enterobacter,50,0.5670894527634368,0.5929523643470732,0.9980094939470291,0.20367371122042344,0.0
kleb_to_enterobacter_structural_plus_random_no_diversity_seed44,Enterobacter,50,0.5410858432546941,0.5636266617555489,0.9984340488910675,0.2952447185913722,0.06
kleb_to_enterobacter_structural_random_diversity_seed42,Enterobacter,50,0.5337588213971791,0.5660607576384127,0.998417791724205,0.3504220883051555,0.24
kleb_to_enterobacter_structural_random_diversity_seed43,Enterobacter,50,0.5670894527634368,0.5929523643470732,0.9980094939470291,0.20367371122042344,0.0
kleb_to_enterobacter_structural_random_diversity_seed44,Enterobacter,50,0.5410858432546941,0.5636266617555489,0.9984340488910675,0.2952447185913722,0.06
kleb_to_enterobacter_structural_random_no_diversity_seed42,Enterobacter,50,0.5337588213971791,0.5660607576384127,0.998417791724205,0.3504220883051555,0.24
kleb_to_enterobacter_structural_random_no_diversity_seed43,Enterobacter,50,0.5670894527634368,0.5929523643470732,0.9980094939470291,0.20367371122042344,0.0
kleb_to_enterobacter_structural_random_no_diversity_seed44,Enterobacter,50,0.5410858432546941,0.5636266617555489,0.9984340488910675,0.2952447185913722,0.06
kleb_to_pseudomonas_entropy_diversity_seed42,Pseudomonas,50,0.3607933396065461,0.4325410775306459,0.9964302718639374,1.543276626666387,0.0
kleb_to_pseudomonas_entropy_diversity_seed43,Pseudomonas,50,0.3590791222042328,0.4564878656103316,0.9963418287038803,1.497275640567144,0.0
kleb_to_pseudomonas_entropy_diversity_seed44,Pseudomonas,50,0.34012817031289977,0.4091780508112346,0.9961823523044586,1.4520755894978843,0.0
kleb_to_pseudomonas_esm_guided,Pseudomonas,50,0.2812482138680159,0.3029032939008984,0.9978813445568084,0.2662309138725201,0.0
kleb_to_pseudomonas_esm_guided_diverse,Pseudomonas,50,0.2340410440236821,0.2867224244623979,0.9980497634410859,0.1989967728406191,0.0
kleb_to_pseudomonas_esm_guided_diverse_entropy,Pseudomonas,50,0.2443193227035048,0.3076513136868861,0.9975728279352188,1.5482931085427603,0.0
kleb_to_pseudomonas_random_diversity_seed42,Pseudomonas,50,0.38283191435178004,0.4647073472045978,0.9970957601070404,0.2532743417782088,0.0
kleb_to_pseudomonas_random_diversity_seed43,Pseudomonas,50,0.3495591034192904,0.4920843020720907,0.9978574752807617,0.31940086364746095,0.0
kleb_to_pseudomonas_random_diversity_seed44,Pseudomonas,50,0.4028897510791974,0.4711585963498602,0.9975599873065949,0.343364263077577,0.0
kleb_to_pseudomonas_random_no_diversity_seed42,Pseudomonas,50,0.4363208090058792,0.4874751996586524,0.9967422103881836,0.4056290833155314,0.0
kleb_to_pseudomonas_random_no_diversity_seed43,Pseudomonas,50,0.3852173703583239,0.4084841709382488,0.9979902583360672,0.2639190410574277,0.0
kleb_to_pseudomonas_random_no_diversity_seed44,Pseudomonas,50,0.42551281473164887,0.4626386096274411,0.9975710195302964,0.3980955026547114,0.0
