run,dataset,target,method,seed,mean_score,max_score,min_score,median_score,diversity,unique_mutation_sites,seed_similarity,seed_novelty,best_delta_target_score,mean_delta_target_score_top_k
kleb_to_enterobacter_structural_plus_entropy_diversity_seed42,structural_plus,Enterobacter,entropy_diversity,42.0,0.6039351387363392,0.6266772435692393,0.5962563668440573,0.6028032556415996,11.235918367346938,34.0,0.9990915071964264,0.0009084928035735,0.22402210464643024,0.21012287015194647
kleb_to_enterobacter_structural_plus_entropy_diversity_seed43,structural_plus,Enterobacter,entropy_diversity,43.0,0.6143871599762973,0.6450793294945086,0.6047985637620964,0.612152020967726,7.497959183673469,31.0,0.9990636777877808,0.0009363222122191,0.24242419057169962,0.225168145332377
kleb_to_enterobacter_structural_plus_entropy_diversity_seed44,structural_plus,Enterobacter,entropy_diversity,44.0,0.6095649982733642,0.6443516525528517,0.6000794809568633,0.6070365560260094,12.641632653061224,35.0,0.9990943276882172,0.0009056723117827,0.24169651363004263,0.2218520997074703
kleb_to_enterobacter_structural_plus_random_diversity_seed42,structural_plus,Enterobacter,random_diversity,42.0,0.5337588213971791,0.5660607576384127,0.522195551778543,0.5311499585012904,15.54530612244898,103.0,0.9996251213550568,0.0003748786449431,0.16340561871560366,0.14803284763045807
kleb_to_enterobacter_structural_plus_random_diversity_seed43,structural_plus,Enterobacter,random_diversity,43.0,0.5670894527634368,0.5929523643470732,0.5583009627480933,0.5647962203266967,5.81469387755102,92.0,0.9994973111152649,0.000502688884735,0.1902972254242642,0.17869927936723773
kleb_to_enterobacter_structural_plus_random_diversity_seed44,structural_plus,Enterobacter,random_diversity,44.0,0.541085843254694,0.5636266617555489,0.5337824077246413,0.5385035310259552,10.93061224489796,97.0,0.999667638540268,0.000332361459732,0.16097152283273986,0.14913867018073823
kleb_to_enterobacter_structural_plus_random_no_diversity_seed42,structural_plus,Enterobacter,random_no_diversity,42.0,0.5337588213971791,0.5660607576384127,0.522195551778543,0.5311499585012904,15.54530612244898,103.0,0.999625123,0.0003748786454,0.16340561871560366,0.14807101517602012
kleb_to_enterobacter_structural_plus_random_no_diversity_seed43,structural_plus,Enterobacter,random_no_diversity,43.0,0.5670894527634368,0.5929523643470732,0.5583009627480933,0.5647962203266967,5.81469387755102,92.0,0.9994973126,0.0005026888848,0.1902972254242642,0.17869927936723773
kleb_to_enterobacter_structural_plus_random_no_diversity_seed44,structural_plus,Enterobacter,random_no_diversity,44.0,0.541085843254694,0.5636266617555489,0.5337824077246413,0.5385035310259552,10.93061224489796,97.0,0.9996676402,0.0003323614601999,0.16097152283273986,0.1500825216898482
kleb_to_enterobacter_structural_random_diversity_seed42,structural,Enterobacter,random_diversity,42.0,0.5337588213971791,0.5660607576384127,0.522195551778543,0.5311499585012904,15.54530612244898,103.0,0.9996251213550568,0.0003748786449431,0.16340561871560366,0.14803284763045807
kleb_to_enterobacter_structural_random_diversity_seed43,structural,Enterobacter,random_diversity,43.0,0.5670894527634368,0.5929523643470732,0.5583009627480933,0.5647962203266967,5.81469387755102,92.0,0.9994973111152649,0.000502688884735,0.1902972254242642,0.17869927936723773
kleb_to_enterobacter_structural_random_diversity_seed44,structural,Enterobacter,random_diversity,44.0,0.541085843254694,0.5636266617555489,0.5337824077246413,0.5385035310259552,10.93061224489796,97.0,0.999667638540268,0.000332361459732,0.16097152283273986,0.14913867018073823
kleb_to_enterobacter_structural_random_no_diversity_seed42,structural,Enterobacter,random_no_diversity,42.0,0.5337588213971791,0.5660607576384127,0.522195551778543,0.5311499585012904,15.54530612244898,103.0,0.999625123,0.0003748786454,0.16340561871560366,0.14807101517602012
kleb_to_enterobacter_structural_random_no_diversity_seed43,structural,Enterobacter,random_no_diversity,43.0,0.5670894527634368,0.5929523643470732,0.5583009627480933,0.5647962203266967,5.81469387755102,92.0,0.9994973126,0.0005026888848,0.1902972254242642,0.17869927936723773
kleb_to_enterobacter_structural_random_no_diversity_seed44,structural,Enterobacter,random_no_diversity,44.0,0.541085843254694,0.5636266617555489,0.5337824077246413,0.5385035310259552,10.93061224489796,97.0,0.9996676402,0.0003323614601999,0.16097152283273986,0.1500825216898482
kleb_to_pseudomonas_entropy_diversity_seed42,legacy,Pseudomonas,entropy_diversity,42.0,0.360793339606546,0.4325410775306459,0.2892362973349704,0.3607962578484854,25.24408163265306,58.0,,,0.31145690189933256,0.29326891691166546
kleb_to_pseudomonas_entropy_diversity_seed43,legacy,Pseudomonas,entropy_diversity,43.0,0.3590791222042328,0.4564878656103316,0.3072663063177029,0.3495673903130643,23.347755102040814,56.0,,,0.33540368997901826,0.2998769320042471
kleb_to_pseudomonas_entropy_diversity_seed44,legacy,Pseudomonas,entropy_diversity,44.0,0.3401281703128997,0.4091780508112346,0.2878699560847734,0.335304544574607,26.572244897959184,60.0,,,0.28809387517992124,0.27743146011522213
kleb_to_pseudomonas_esm_guided,legacy,Pseudomonas,legacy,,0.2812482138680159,0.3029032939008984,0.2724657741859542,0.2798343392270053,,,,,0.18181905610106913,0.1727662305401459
kleb_to_pseudomonas_esm_guided_diverse,legacy,Pseudomonas,legacy,,0.2340410440236821,0.2867224244623979,0.1558098788882664,0.2541557171541503,,,,,0.16563818666256863,0.12703933006826834
kleb_to_pseudomonas_esm_guided_diverse_entropy,legacy,Pseudomonas,legacy,,0.2443193227035048,0.3076513136868861,0.1511370100970256,0.2717697424991616,12.791836734693875,36.0,,,0.18656707588705684,0.15308486149465472
kleb_to_pseudomonas_random_diversity_seed42,legacy,Pseudomonas,random_diversity,42.0,0.38283191435178,0.4647073472045978,0.3435978576978947,0.3724328949572393,26.03265306122449,172.0,,,0.3436231715732844,0.3097763838955257
kleb_to_pseudomonas_random_diversity_seed43,legacy,Pseudomonas,random_diversity,43.0,0.3495591034192904,0.4920843020720907,0.3051307812855737,0.3379801657832182,29.897959183673468,164.0,,,0.37100012644077734,0.2917676646613587
kleb_to_pseudomonas_random_diversity_seed44,legacy,Pseudomonas,random_diversity,44.0,0.4028897510791974,0.4711585963498602,0.3701674943241174,0.3998841745089312,25.75265306122449,172.0,,,0.35007442071854683,0.3193935064241652
kleb_to_pseudomonas_random_no_diversity_seed42,legacy,Pseudomonas,random_no_diversity,42.0,0.4363208090058791,0.4874751996586524,0.4212034837105249,0.4309754394062818,15.102857142857143,115.0,,,0.36639102402733903,0.3364995802703389
kleb_to_pseudomonas_random_no_diversity_seed43,legacy,Pseudomonas,random_no_diversity,43.0,0.3852173703583239,0.4084841709382488,0.3756147008446258,0.3835275688127281,23.457142857142856,123.0,,,0.28739999530693544,0.27768933057891465
kleb_to_pseudomonas_random_no_diversity_seed44,legacy,Pseudomonas,random_no_diversity,44.0,0.4255128147316488,0.4626386096274411,0.4102051602334506,0.423241410103677,23.11591836734694,125.0,,,0.3415544339961277,0.3237137001884886
kleb_to_pseudomonas_structural_entropy_diversity_novelty_seed42,structural,Pseudomonas,entropy_diversity_novelty,42.0,0.272894105110176,0.297622407106994,0.2621991001345381,0.2716410308051069,12.453061224489796,39.0,0.9991604220867156,0.0008395779132842,0.17653823147568065,0.16589612185951758
kleb_to_pseudomonas_structural_entropy_diversity_novelty_seed43,structural,Pseudomonas,entropy_diversity_novelty,43.0,0.273380499356364,0.3051548695034918,0.2599440310133746,0.2683814670858101,13.801632653061224,41.0,0.9991308045387268,0.0008691954612731,0.18407069387217845,0.1701582165968471
kleb_to_pseudomonas_structural_entropy_diversity_novelty_seed44,structural,Pseudomonas,entropy_diversity_novelty,44.0,0.2813519096096915,0.3249375912956388,0.2272524429344502,0.2794890219175706,11.236734693877551,34.0,0.9990922081470488,0.000907791852951,0.20385341566432547,0.16769891795209063
kleb_to_pseudomonas_structural_entropy_diversity_seed42,structural,Pseudomonas,entropy_diversity,42.0,0.272894105110176,0.297622407106994,0.2621991001345381,0.2716410308051069,12.453061224489796,39.0,0.9991604220867156,0.0008395779132842,0.17653823147568065,0.16589612185951758
kleb_to_pseudomonas_structural_entropy_diversity_seed43,structural,Pseudomonas,entropy_diversity,43.0,0.273380499356364,0.3051548695034918,0.2599440310133746,0.2683814670858101,13.801632653061224,41.0,0.9991308045387268,0.0008691954612731,0.18407069387217845,0.1701582165968471
kleb_to_pseudomonas_structural_entropy_diversity_seed44,structural,Pseudomonas,entropy_diversity,44.0,0.2813519096096915,0.3249375912956388,0.2272524429344502,0.2794890219175706,11.236734693877551,34.0,0.9990922081470488,0.000907791852951,0.20385341566432547,0.16769891795209063
kleb_to_pseudomonas_structural_plus_entropy_diversity_novelty_seed42,structural_plus,Pseudomonas,entropy_diversity_novelty,42.0,0.272894105110176,0.297622407106994,0.2621991001345381,0.2716410308051069,12.453061224489796,39.0,0.9991604220867156,0.0008395779132842,0.17653823147568065,0.16589612185951758
kleb_to_pseudomonas_structural_plus_entropy_diversity_novelty_seed43,structural_plus,Pseudomonas,entropy_diversity_novelty,43.0,0.273380499356364,0.3051548695034918,0.2599440310133746,0.2683814670858101,13.801632653061224,41.0,0.9991308045387268,0.0008691954612731,0.18407069387217845,0.1701582165968471
kleb_to_pseudomonas_structural_plus_entropy_diversity_novelty_seed44,structural_plus,Pseudomonas,entropy_diversity_novelty,44.0,0.2813519096096915,0.3249375912956388,0.2272524429344502,0.2794890219175706,11.236734693877551,34.0,0.9990922081470488,0.000907791852951,0.20385341566432547,0.16769891795209063
kleb_to_pseudomonas_structural_plus_entropy_diversity_seed42,structural_plus,Pseudomonas,entropy_diversity,42.0,0.272894105110176,0.297622407106994,0.2621991001345381,0.2716410308051069,12.453061224489796,39.0,0.9991604220867156,0.0008395779132842,0.17653823147568065,0.16589612185951758
kleb_to_pseudomonas_structural_plus_entropy_diversity_seed43,structural_plus,Pseudomonas,entropy_diversity,43.0,0.273380499356364,0.3051548695034918,0.2599440310133746,0.2683814670858101,13.801632653061224,41.0,0.9991308045387268,0.0008691954612731,0.18407069387217845,0.1701582165968471
